iter	Passed	Remaining
400	30291	45248
401	30351	45150
402	30409	45047
403	30464	44942
404	30521	44840
405	30575	44733
406	30617	44609
407	30665	44494
408	30709	44375
409	30756	44259
410	30802	44143
411	30852	44032
412	30901	43920
413	30961	43824
414	31014	43719
415	31071	43619
416	31126	43517
417	31170	43400
418	31214	43283
419	31266	43177
420	31315	43067
421	31375	42974
422	31422	42861
423	31469	42750
424	31522	42648
425	31567	42534
426	31608	42416
427	31653	42303
428	31717	42216
429	31865	42239
430	32025	42280
431	32186	42319
432	32392	42416
433	32619	42540
434	32781	42578
435	32874	42525
436	32986	42497
437	33125	42503
438	33241	42479
439	33365	42464
440	33461	42415
441	33571	42381
442	33701	42373
443	33827	42360
444	33944	42334
445	34059	42306
446	34187	42294
447	34343	42316
448	34466	42295
449	34555	42234
450	34679	42215
451	34796	42187
452	34920	42167
453	35052	42155
454	35160	42115
455	35250	42053
456	35335	41984
457	35433	41932
458	35511	41855
459	35627	41823
460	35743	41791
461	35859	41758
462	35979	41729
463	36120	41725
464	36244	41700
465	36374	41681
466	36463	41617
467	36555	41554
468	36676	41525
469	36797	41495
470	36897	41441
471	36979	41366
472	37052	41283
473	37149	41224
474	37265	41187
475	37363	41131
476	37457	41069
477	37551	41008
478	37663	40966
479	37770	40917
480	37894	40887
481	38015	40854
482	38111	40794
483	38217	40744
484	38324	40695
485	38425	40639
486	38522	40578
487	38612	40511
488	38718	40460
489	38814	40398
490	38923	40350
491	39042	40312
492	39151	40262
493	39265	40219
494	39378	40174
495	39485	40122
496	39574	40052
497	39667	39985
498	39809	39969
499	39906	39906
500	39981	39822
501	40044	39725
502	40095	39617
503	40143	39506
504	40189	39394
505	40235	39280
506	40277	39165
507	40329	39058
508	40382	38954
509	40429	38844
510	40470	38728
511	40514	38615
512	40564	38508
513	40612	38400
514	40673	38303
515	40722	38196
516	40770	38088
517	40822	37985
518	40868	37876
519	40919	37771
520	40973	37670
521	41033	37575
522	41084	37471
523	41139	37370
524	41189	37266
525	41250	37172
526	41301	37069
527	41347	36961
528	41426	36884
529	41481	36785
530	41526	36677
531	41569	36568
532	41622	36468
533	41664	36359
534	41718	36259
535	41765	36155
536	41817	36054
537	41870	35955
538	41922	35855
539	41973	35755
540	42029	35658
541	42073	35552
542	42120	35449
543	42172	35350
544	42219	35247
545	42264	35142
546	42313	35042
547	42361	34940
548	42407	34837
549	42453	34734
550	42496	34629
551	42538	34523
552	42589	34426
553	42642	34329
554	42697	34235
555	42743	34133
556	42793	34034
557	42834	33929
558	42881	33829
559	42931	33731
560	42984	33636
561	43034	33539
562	43083	33441
563	43135	33345
564	43184	33248
565	43231	33149
566	43273	33046
567	43320	32947
568	43365	32848
569	43413	32750
570	43468	32658
571	43518	32562
572	43571	32469
573	43620	32373
574	43667	32276
575	43711	32176
576	43760	32080
577	43808	31984
578	43859	31890
579	43906	31794
580	43953	31697
581	44002	31602
582	44050	31507
583	44097	31411
584	44146	31317
585	44194	31222
586	44249	31132
587	44291	31034
588	44339	30939
589	44385	30844
590	44426	30745
591	44472	30649
592	44520	30556
593	44569	30463
594	44618	30370
595	44666	30277
596	44714	30184
597	44760	30089
598	44811	29999
599	44861	29907
600	44908	29814
601	44954	29720
602	45005	29630
603	45072	29550
604	45119	29458
605	45170	29368
606	45219	29277
607	45263	29183
608	45317	29095
609	45360	29000
610	45401	28905
611	45451	28815
612	45497	28723
613	45543	28631
614	45588	28538
615	45636	28448
616	45689	28361
617	45729	28266
618	45767	28170
619	45817	28081
620	45860	27988
621	45912	27901
622	45960	27812
623	46020	27730
624	46070	27642
625	46114	27550
626	46161	27461
627	46204	27369
628	46256	27283
629	46304	27194
630	46354	27107
631	46404	27020
632	46450	26931
633	46503	26846
634	46552	26758
635	46599	26670
636	46644	26581
637	46735	26517
638	46852	26469
639	47024	26451
640	47162	26413
641	47312	26382
642	47414	26325
643	47540	26280
644	47652	26227
645	47761	26172
646	47871	26118
647	47985	26066
648	48153	26042
649	48277	25995
650	48376	25934
651	48478	25875
652	48595	25823
653	48703	25766
654	48811	25709
655	48916	25651
656	49040	25602
657	49180	25561
658	49306	25513
659	49416	25456
660	49516	25394
661	49625	25337
662	49755	25290
663	49886	25243
664	50003	25189
665	50102	25126
666	50255	25089
667	50355	25026
668	50443	24957
669	50537	24891
670	50653	24836
671	50772	24781
672	50880	24721
673	50980	24658
674	51078	24593
675	51183	24531
676	51299	24475
677	51398	24410
678	51513	24353
679	51608	24286
680	51701	24218
681	51828	24166
682	51965	24118
683	52068	24054
684	52168	23990
685	52294	23936
686	52400	23873
687	52492	23804
688	52577	23732
689	52696	23675
690	52808	23614
691	52880	23536
692	52952	23457
693	53026	23380
694	53098	23302
695	53180	23228
696	53266	23155
697	53367	23090
698	53491	23034
699	53576	22961
700	53669	22891
701	53787	22832
702	53890	22767
703	54025	22715
704	54123	22647
705	54217	22578
706	54320	22511
707	54419	22443
708	54526	22379
709	54639	22317
710	54743	22251
711	54842	22183
712	54921	22107
713	54988	22026
714	55039	21938
715	55092	21852
716	55136	21762
717	55178	21671
718	55220	21581
719	55265	21492
